transliteration,translation
eqēqu I,"~ ""to paralyse"" O G (i ) stat. of person ""is paralysed"" Gtn iter., ""be continuously unable to move"" D stat. of tongue ""is tied"""
bubūtu I,"""hunger, starvation"" [ŠÀ.GAR; SU.GU7] of individuals, ""famine"" of land; also ""sustenance"""
tahsāti I,"~ ""ambush"" NA"
um-ma SIG5-pì-a-šur-ma a-na PUZUR4-a-šur qí-bi-ma šu-ma AN.NA-kà i-na sà-lam-tí-kà té-zi-ib-šu a-na kà-né-eš tù-šé-ri-ib-šu AN.NA-kà <gap> -am šu-ma a-na kà-né-eš iš-tí-šu AN.NA-kà tù-šé-ri-ib-ma <gap> -hu-ur a-tal-kam <gap> i-na <gap> a-na KÙ.BABBAR <gap> -ni-šu ú a-ta <gap> -AN.NA-ki-kà <gap> ta-ma-ma šé-li a-pu-tum i-na {d}UTU-ši ṭup-pì ta-ša-me-ú tí-ib-a-ma a-tal-kam lá-ma a-wa-tum <gap>,"<gap> From Damiq-pī-Aššur to Puzur-Aššur: If in your falseness you have left your tin, (and) you brought it into Kanesh, then gap> your tin. If you brought your tin into Kanesh together with him, then gap> and come. gap> and you gap> of your tin gap> produce. It is important that you set out and leave the very day you hear my letter, before word gap>"
erbû I,"st. constr. e ""locust"" [BURU5] tibût e. ""locust swarm"", also e. tibûti; eli e. mād ""more numerous than locusts""; erib garābi ""leprosy-l."" (a nt name); e. nāri ""river-l."" (a water insect); e. tâmti ""sea-l."" (a crustacean); e. turbu'ti ""dust storm-l."";"
suqāru I,(desig. of a path) jB legap> .
alkanniwe I,(part of a vehicle) Nuzi;
šētu II,(a tegap> tile) OB
a-na en-na-nim DUMU a-bi4-a ú a-lá-hi-im DUMU šál-ma-a-šùr KIŠIB PUZUR4-a-šur,To Ennānum son of Abiya and Ali-ahum son of Šalim-Aššur; seal of Puzur-Aššur.
šušippu I,"m. & f. ""towel"" O, NA [ŠU.SU.UB] of wool, linen; dirty, clean; Nuzi, in pairs; š. qātim ""hand towel"";"
idītu I,(a kind of mash) jB legap> .
izmu I,(an egap> tispicy technique) Mari
tēṣītu I,"""lease"" OB(Susa) with eqlum (""field"")"
wīṣu I,"""few""; of days; of peo ""small"" in number, of body of troops; in quantity, of money, goods; esp. ī. ū mādu(m) ""(whether) little or much"";"
elu II,"(part of a metal object) NB of censer (= e. I ""top, lid"")"
meṣirānu I,(desig. of horse) NA
puluhhû I,"""frightful appearance"" OB m.; Bogh. f. puluhhêtu;"
ālišam I,"""village by village"" OB, Mari;"
bargallu I,(a desig. of sheep) jB legap> .;
artamašše I,mng. unkn. Nuzi;
arāmu I,"""to cover"" Bogh., jB G (i) ""cover s.th. with s.th."" (= 2 acc.), drum with skin, object with gold; ""ce (tablet) in a (clay) case""; egap> t., bodily parts; of cloud ""cover"" moon, net; of smoke ""veil"" face; transf. ""cover"" s.o.'s face etc. with radiance, gloom etc. D ""cover up"""
erištu I,"""cultivation"" OB also ""crop"";"
laruššu I,"mng. unkn. jB in laruš tâmti ""sea l."""
a-na ší-ša-ra <gap> a-du-da <gap> qí-bi-ma um-ma ša-lim-a-šùr-ma 2 GÚ 10 ma-na AN.NA 4 TÚG ku-ta-nu li-we-tum 5 TÚG e-li-tum 7 ma-na AN.NA qá-tim ú 10 ma-na ni-ga-lu ANŠE.HI.A ṣa-lá-mu-um mì-ma a-nim pu-šu-ki-in ú e-ri-šum ša i-sú-rik13 ub-lu-nim 4 GÚ 30 ma-na AN.NA 8 šu-ru-tum li-we-sú-nu 5 ANŠE ṣa-lá-mu 13 TÚG ku-sí-a-tum 18 ma-na AN.NA qá-tim 33 ma-na hu-ša-ú mì-ma a-nim ša i-sú-rik13 i-ri-šum ù a-bu-ša-lim ub-lu-nim 6 GÚ 30 ma-na AN.NA ku-nu-ku 30 ku-ta-nu qá-dum li-we-tim 3 ANŠE.HI.A 30 ma-na AN.NA qá-tim 30 ma-na ni-ga-lu mì-ma a-nim i šé-ep a-bu-ša-lim ša i-sú-rik13 i-li-kam la-qé-pu-um i-na lá i-dim i-šé-a-ni um-ma šu-ut-ma mì-ma maš-kà-tum ša a-bi4-kà i li-bi ú-lá i-ba-ší É a-bi-kà ša-bu-ú mì-nam ta-za-na-kà-ra-šu-nu mì-ma tí-šu ša na-ru-qí-ni ma ṭup-pí ša maš-kà-na-tim me-eh-ri bi-ra-ma ší-bi ša ki maš-kà-na-tim ša i-sú-rik13 iš-ta-ku-nu a-na KÁ DINGIR šé-ri-da-šu-nu-ma ṭup-pí ša,"<gap> To Šišara and Aduda from Šalim-Aššur: 2 talents 10 minas of tin, 4 -tegap> tiles, the wrapping, 5 tegap> tiles in a top-pack, 7 minas of egap> pense-tin s 10 minas of sickles; 1 black donkey - all this, belonging to Issu-arik, Pūšu-kēn and Erišum brought. 4 talents 30 minas of tin, 8 black (tegap> tiles) to wrap it, 5 black donkeys, 13 robes, 18 minas of egap> pense-tin, 33 minas of scrap metal - all this, belonging to Issu-arik, Irišum and Abu-šalim brought. 6 talents 30 minas of tin under seal, 30 -tegap> tiles including the wrapping, 3 donkeys, 30 minas of egap> pense-tin, 30 minas of sickles - all this, belonging to Issu-arik, arrived transported by Abu-šalim. Lā-qēpum sues me without reason, saying: There is no deposit of your father's owed by me. Your father's firm has been paid. Why do you make declarations for them that anything you have is our joint-stock capital"" So as for the tablets of deposit, check the copies, and lead the witnesses whom Issu-arik kept appointing for deposits to the Gate of the God, and certify tablets with their testimony, but Iddin-abum's tablets which were sealed by Šu-Illil, Amur-Ištar and Šu-Anum you must not open until I arrive. My journey is imminent. """
nēmequ I,"""wisdom, sagacity"" Bab., M [NAM.KÙ.ZU] ""civiliknowledge""; ""skill(ed craftsmanship)""; NA ""cunning"";"
