oare_id,transliteration,translation
275225f2-d62c-4d25-ba78-68192ee1d056,<gap> kī(ma) kasap a--na šī-a--mā-tim ša-lim-a--šur i--dí-šum šēbum en-na-sú-in mer'ēn i--ku-a--a- šēbum sà-li-a- mer'ēn i--dí-a--šur šēbum SIG5-pī-a--šur šēbum a--šur-na-da mer'ēn en-nam-a--šur,"<gap> gap> Šalim-Aššur gave him the silver for purchases. Witnessed by Enna-Suen son of Ikuwaya, by Salliya son of Iddin-Aššur, by Damiq-pī-Aššur, by Aššur-nādā son of Ennam-Aššur."
df7539cb-11d6-402c-8000-28346d646bc9,a--na e-lā-mā qí-bi-mā Amurrum-mā a--hu-wa-qar-mā ta-áš-pu-ra-am Amurrum-mā a--ta-mā ṭup-pu-Amurrum i--hu-lā-pī-im lā-wi pá-nu-šu kunukkum a--lā-hi-im a--na hi-na-a- u e-lā-mā lā-pī-it i- li-bi4 ṭup-pé ša a--šur-DU10 né-mu-ur-mā lā-šu a--na a--šur-DU10 ni-iš-tap-ra-am té-er-tù-šu li-tù-ra-am-mā a--šar ša-ak-nu nu-šé-ba-lā-ku-šu a--šu-mì am-tí-im ša a--šur-ta-ak-lā-ku ša ta-áš-pu-ra-ni dan-a--šur ni-iš-al-mā Amurrum-mā šu-ut-mā šī-im amtem a--na-ku i- ra-mì-ni-a- áš-qúl šarrum-{d}IŠKUR a--na wa-ah-šu-ša-na i--lā-ak šī-be u-ša-a--lā-mā za-ku-sà ni-ša-pá-ra-kum,"Say to Elamma, thus Ahu-waqar: You wrote me as follows: '(There is) a tablet wrapped in a rag, on the face of which is written: 'Seal of Ali-ahum to hinnāya and Elamma'. We looked for it among the tablets of Aššur-ṭāb, but it is not there. We have now sent a letter to Aššur-ṭāb. When his message (telling) where it has been ced comes back we will send it to you. As for the slave-girl of Aššur-taklāku, about whom you wrote us, we asked Dān-Aššur and he said: 'It was me who paid the price of the slave-girl out of my own means.' Šarrum-Adad will go to Wahšušana, he will interrogate the witnesses and then we will send you definite information."""""
b9af60bd-a7ca-414f-b945-5ef87c277214,⅓ mā-na 3 šiqlam kasap a--na sú-sá-a- a--šu-mì a--al-DU10 áš-qúl šēbum en-na-nim na-pá-hi-im šēbum en-Amurrum-a--šùr mer'ēn bu-ut-qí-im šēbum a--šùr-be-el-a--wa-tim mer'ēn zu-ba,"43 shekels of silver I paid to Susāya on behalf of Āl-ṭāb. In the presence of Ennānum, the blacksmith, of Ennam-Aššur, son of Butqum, of Aššur-bēl-awātim, son of Zuba."
966f1e80-11dc-47c4-8f67-db4b2afd1c90,1 mā-na 2 šiqlam kasap ṣa-ru-pá-am i--ṣé-er a- ni-sà-ba tù-ra-mì-ili5 i--šu iš-tù ha-mu-uš-tim ša ilem-na-da a--2 warḫān a--na kà-né-eš u-šé-ba-lam 1.5 šiqlam a--1-mā-na-im i- warḫān u-ṣa-áb šēbum na-áb-sú-in šēbum šu-ku-bi4-im,"1 mina 2 shekels of refined silver Anisaba owes to Tūram-ilī. Reckoned from the week eponymy of Ilī-nādā he will send me the silver to Kanesh in 2 months. If he does not send it he will add as interest 1.5 shekel per mina per month. In the presence of Nabi-Suen, of Šu-Kūbum."
9f3c5b2e-3dbc-4bc8-b5a8-515064362b89,a--na a--lā-hi-im lu-lu u en-Amurrum-a--šùr a--na en-Amurrum-a--šùr qí-bi-mā Amurrum-mā PUZUR4-a--šùr-mā 13 mā-na anniki ku-nu-kī(ma)-a- i--na za-al-pá a--dí-na-ku-Amurrum Amurrum-mā a--na-ku-mā a--na kà-né-eš šé-ri-ba-šu šēbum a--šùr-ba-ni mer'ēn ku-ta-a- šēbum en-nam-sú-in mer'ēn AH.ME-ša-sú-in a--hi a--ta anniki ku-nu-kī(ma)-a- a- ša kī(ma)-mā i--a--tí pī-qí-id a--na ša kī(ma)-mā i--a--tí qí-bi-mā a--hu-u-a- a--tù-nu anniki ša-dí-na-mā a--na kasap ta-e-ra-šu kasap ku-un-kà-mā li-ib-šī gi-im-lā-ni u a--na-ku a--we-el gi-mì-lim,"To Ali-ahum, Lulu and Ennam-Aššur; specifically to Ennam-Aššur from Puzu-Aššur: I gave you 13 minas of tin under my seal in Zalpa, and I said: Lead it into Kanesh."" Witnesses were Aššur-bāni son of Kutaya, Ennam-Suen son of the Suen-priest. My dear brother, entrust the tin under my seal to my representatives. To my representatives: My dear brothers, have the tin sold and converted to silver, seal the silver and let it be. Do me a favour. I too am a man able to do favours."""
4aac0b6b-c7eb-4efb-b988-2df596dad287,kunukkum a--šùr-DU10 mer'ēn a--hu-wa-qar kunukkum šu-a--nim mer'ēn a--kī(ma)-a--nim kunukkum a--šur-du-gul mer'ēn im-da-hi kunukkum a--šur-DU10 mer'ēn i--dí-ba-ni 12 šiqlam kasap i--ṣé-er a--šùr-DU10 mer'ēn i--dí-ba-ni en-na-sú-in i--šu warḫān na-ar-mā-ak-a--šur li-mu-Amurrum e-lā-li mer'ēn i--ku-nim ṣí-ib-tám kī(ma)-mā a--wa-at kà-ri-im kà-né-eš u-ṣa-áb,"Seal of Aššur-ṭāb, son of Ahu-waqar, seal of Šu-Anim, son of Akiānum, seal of Aššur-dugul, son of Imdī-ahī, seal of Aššur-ṭāb, son of Idi-bāni, Ennam-Suen has a claim of 12 shekels of silver on Aššur-ṭāb, son of Idi-āni; month 2, eponymy of Elalī, son of Ikūnum. He will add interest according to the regulation of of the Kanesh colony."
10bd64cd-2f89-4634-a5ca-e28bba719142,kunukkum en-na-nim mer'ēn šu-bé-lim kunukkum u-ṣú-ur-ša-a--šur mer'ēn a--mur-i--a- 13.5 šiqlam kasap ṣa-ru-pá-am i--na ṣé-er u-ṣú-ur-ša-a--šur mer'ēn a--mur-i--a- i--ri-šum i--šu iš-tù ha-mu-uš10-tim ša a--šur-i--mì-tí u a--mur-Ištar ⅓ šiqlam i--na warḫān u-ṣa-áb,"Seal of Ennānum son of Šu-Bēlum, seal of Uṣur-ša-Aššur son of Amurriya. Uṣur-ša-Aššur son of Amurriya owes 13.5 shekels of refined silver to Irišum. Reckoned from the week of Aššur-imittī and Amur-Ištar he must add interest at the rate ⅓ shekel per month."
3438632c-b252-451d-bcaf-70709aef9f5a,kunukkum lā-qé-ep mer'ēn {d}AB-ba-ni kunukkum a--ku-za mer'ēn šu-a--nim ṭup-pu-Amurrum ša ba-áb ilem ša šēbum patrī ša a--šùr ša šī-bu-tí-ni,"Sealed by Lā-qēp son of Illil-bāni, by Akuza son of Šu-Anum. The tablet from the Gate of the God from before Aššur's dagger, with our testimony."
1d78e512-e1aa-4aaa-9318-72157ec81bc1,a--ba-ba ra-bi4-ṣú-Amurrum ša šál-mā-a--šur a--na en-Amurrum-a--šur mer'ēn šál-mā-a--šur u ṣí-li-a- ša kī(ma)-mā a--lā-hi-im a--hi-šu iṣ-ba-at-ni-a--tí-mā Amurrum-mā a--ba-ba ra-bi4-ṣú-mā a--na en-Amurrum-a--šur u ṣí-li-a- ša kī(ma)-mā a--lā-hi-im 22 biltam werium SIG5 i--na li-bi4-ku-nu Amurrum-mā en-Amurrum-a--šur-mā u ṣí-li-a- ša kī(ma)-mā a--lā-hi-im a--hi-šu ke-na i--na li-bi4-ni i--na kà-ni-iš a--na-ku u a--hi-i- ni-za-ku-mā a--li werium i--na li-bi4-ni i--bu-ra-ni kasap-áp-šu ni-ta-dí-a--ku-Amurrum a--na a--wa-tim a--ni-a--tim kà-ru-Amurrum dur4-hu-mì-it i--dí-ni-a--tí-mā šēbum patrī ša a--šur šī-bu-tí-ni ni-dí-in šēbum DU10-ṣí-lā-a--šur šēbum šu-kī(ma)-tim šēbum en-nu-Amurrum-sú-in,"Ababa, the attorney of Šalim-Aššur, seized us against Ennam-Aššur son Šalim-Aššur and Ṣilliya, his brother Ali-ahum's representative, and the attorney Ababa said to Ennam-Aššur and Ṣilliya, Ali-ahum's representative: 22 talents of good copper are in your possession."" Ennam-Aššur and Ṣilliya, his brother Ali-ahum's representative, answered: ""Yes, it is in our possession. In Kanesh I and my brother will make a settlement and wherever copper is shown as being owed by us, we shall deposit it for you."" The Durhumit colony gave us for these proceedings and we gave our testimony before Aššur's dagger. Witnessed by Ṭāb-ṣill-Aššur, by Šukkutum, by Ennam-Suen."""
c123d89e-9e69-4523-874b-052f4eb885cc,⅔ mā-na 2.83334 šiqlam kasap i- li-bi4-šu-nu a--hu-ur,42.8333 shekels of silver is still due by them
